Instrument,Common Equity - Total,Original Announcement Date Time
COLB.OQ,1274518000.0,2016-10-27T17:00:00Z
COLB.OQ,1272262000.0,2016-07-29T01:00:00Z
ALRM.OQ,548501000.0,2021-05-04T21:21:50Z
ALRM.OQ,467752000.0,2021-02-25T21:02:00Z
ALRM.OQ,438716000.0,2020-11-05T21:02:00Z
ALRM.OQ,393253000.0,2020-08-05T20:02:00Z
ALRM.OQ,366216000.0,2020-05-07T20:05:01Z
ALRM.OQ,355651000.0,2020-02-25T21:05:00Z
ALRM.OQ,336166000.0,2019-11-05T21:05:01Z
ALRM.OQ,312428000.0,2019-08-08T20:07:40Z
ALRM.OQ,292496000.0,2019-05-09T20:07:17Z
ALRM.OQ,277589000.0,2019-02-28T21:05:16Z
ALRM.OQ,264741000.0,2018-11-07T21:05:19Z
ALRM.OQ,266198000.0,2018-08-07T20:45:59Z
ALRM.OQ,250258000.0,2018-05-03T17:00:00Z
ALRM.OQ,232827000.0,2018-02-27T17:00:00Z
ALRM.OQ,229914000.0,2017-11-08T17:00:00Z
ALRM.OQ,211286000.0,2017-08-08T21:05:00Z
ALRM.OQ,198407000.0,2017-05-09T21:05:00Z
ALRM.OQ,191249000.0,2017-03-15T17:00:00Z
ALRM.OQ,184300000.0,2016-11-14T17:00:00Z
ALRM.OQ,177582000.0,2016-08-15T13:40:00Z
SAM.N,1028724000.0,2021-04-22T20:30:35Z
SAM.N,956967000.0,2021-02-17T21:40:35Z
SAM.N,918530000.0,2020-10-22T20:28:38Z
SAM.N,827483000.0,2020-07-23T20:33:12Z
SAM.N,758236000.0,2020-04-22T20:34:39Z
SAM.N,735636000.0,2020-02-19T21:30:55Z
SAM.N,718980000.0,2019-10-29T21:19:34Z
SAM.N,522801000.0,2019-07-25T20:47:18Z
SAM.N,489818000.0,2019-04-24T20:36:21Z
SAM.N,460317000.0,2019-02-20T21:42:47Z
SAM.N,434546000.0,2018-10-25T20:36:36Z
SAM.N,442672000.0,2018-07-26T20:37:38Z
SAM.N,436926000.0,2018-04-25T23:00:00Z
SAM.N,423523000.0,2018-02-21T23:00:00Z
SAM.N,414289000.0,2017-10-26T23:00:00Z
SAM.N,421664000.0,2017-07-27T21:33:52Z
SAM.N,435411000.0,2017-04-26T17:00:00Z
SAM.N,446582000.0,2017-02-22T17:00:00Z
SAM.N,450243000.0,2016-10-20T17:00:00Z
SAM.N,412232000.0,2016-07-21T17:00:00Z
CLPT.OQ,43982000.0,2021-05-11T20:12:55Z
CLPT.OQ,2377000.0,2021-03-04T21:08:23Z
CLPT.OQ,149100.0,2020-11-10T21:08:45Z
CLPT.OQ,1339829.0,2020-08-13T20:09:34Z
CLPT.OQ,2759860.0,2020-05-13T20:17:50Z
CLPT.OQ,4586717.0,2020-02-12T21:06:56Z
CLPT.OQ,6007956.0,2019-11-12T21:20:44Z
CLPT.OQ,6907142.0,2019-08-06T20:09:44Z
CLPT.OQ,442619.0,2019-05-13T20:09:36Z
CLPT.OQ,1511002.0,2019-04-01T20:11:12Z
CLPT.OQ,2492642.0,2018-11-13T21:15:28Z
CLPT.OQ,3559355.0,2018-08-14T20:44:40Z
CLPT.OQ,4749386.0,2018-05-15T22:00:00Z
CLPT.OQ,5828740.0,2018-03-15T17:00:00Z
CLPT.OQ,7280279.0,2017-11-06T23:00:00Z
CLPT.OQ,8527818.0,2017-08-01T16:00:00Z
CLPT.OQ,-2204912.0,2017-04-27T17:00:00Z
CLPT.OQ,-756069.0,2017-03-01T17:00:00Z
CLPT.OQ,574585.0,2016-11-04T16:00:00Z
CLPT.OQ,-3964624.0,2016-08-15T17:00:00Z
ACCD.OQ,390848000.0,2021-05-05T23:03:16Z
ACCD.OQ,388287000.0,2021-01-07T21:05:00Z
ACCD.OQ,192104000.0,2020-10-14T20:03:10Z
ACCD.OQ,-266497000.0,2020-08-13T20:03:10Z
ACCD.OQ,-256795000.0,2020-06-30T13:25:47Z
ACCD.OQ,-263912000.0,2020-02-28T00:00:00Z
ACCD.OQ,,2020-02-28T00:00:00Z
ACCD.OQ,,
IRTC.OQ,309572000.0,2021-05-06T20:06:49Z
IRTC.OQ,341612000.0,2021-02-25T21:05:03Z
IRTC.OQ,334546000.0,2020-11-06T21:08:11Z
IRTC.OQ,117946000.0,2020-08-07T20:14:23Z
IRTC.OQ,124977000.0,2020-05-07T20:05:15Z
IRTC.OQ,135409000.0,2020-02-27T21:05:11Z
IRTC.OQ,142585000.0,2019-11-05T21:07:56Z
IRTC.OQ,48608000.0,2019-07-31T20:06:06Z
IRTC.OQ,49723000.0,2019-05-07T20:03:11Z
IRTC.OQ,52137000.0,2019-02-12T21:05:14Z
IRTC.OQ,63958000.0,2018-10-30T20:05:04Z
IRTC.OQ,68467000.0,2018-08-01T20:05:07Z
IRTC.OQ,72623000.0,2018-05-02T17:00:00Z
IRTC.OQ,79553000.0,2018-02-14T17:00:00Z
IRTC.OQ,85389000.0,2017-11-01T17:00:00Z
IRTC.OQ,87426000.0,2017-08-02T17:00:00Z
IRTC.OQ,89312000.0,2017-05-03T06:35:00Z
IRTC.OQ,92562000.0,2017-02-16T00:15:00Z
IRTC.OQ,-114928000.0,2016-12-05T21:07:00Z
IRTC.OQ,-111261000.0,2016-09-23T17:00:00Z
EXC.OQ,32015000000.0,2021-05-05T10:50:00Z
EXC.OQ,32585000000.0,2021-02-24T11:52:00Z
EXC.OQ,32884000000.0,2020-11-03T11:56:12Z
EXC.OQ,32703000000.0,2020-08-04T10:50:00Z
EXC.OQ,32482000000.0,2020-05-08T19:25:18Z
EXC.OQ,32224000000.0,2020-02-11T11:52:39Z
EXC.OQ,32023000000.0,2019-10-31T16:40:55Z
EXC.OQ,31548000000.0,2019-08-01T17:43:05Z
EXC.OQ,31357000000.0,2019-05-02T20:39:37Z
EXC.OQ,30741000000.0,2019-02-08T11:48:36Z
EXC.OQ,31020000000.0,2018-11-01T11:14:59Z
EXC.OQ,30515000000.0,2018-08-02T17:00:00Z
EXC.OQ,30231000000.0,2018-05-02T17:00:00Z
EXC.OQ,29896000000.0,2018-02-07T17:00:00Z
EXC.OQ,28100000000.0,2017-11-02T22:00:00Z
EXC.OQ,27546000000.0,2017-08-02T23:00:00Z
EXC.OQ,26530000000.0,2017-05-03T13:00:00Z
EXC.OQ,25837000000.0,2017-02-08T17:00:00Z
EXC.OQ,26027000000.0,2016-10-26T16:00:00Z
EXC.OQ,25756000000.0,2016-08-09T17:00:00Z
GIC.N,117400000.0,2021-05-04T20:30:23Z
GIC.N,106800000.0,2021-02-23T21:57:19Z
GIC.N,168100000.0,2020-10-27T20:36:13Z
GIC.N,148700000.0,2020-07-28T21:18:34Z
GIC.N,137700000.0,2020-04-28T20:58:50Z
GIC.N,175500000.0,2020-02-25T21:44:31Z
GIC.N,165900000.0,2019-10-30T10:08:22Z
GIC.N,156100000.0,2019-07-30T20:30:09Z
GIC.N,144000000.0,2019-04-30T21:00:27Z
GIC.N,137700000.0,
GIC.N,371300000.0,2018-10-30T20:52:49Z
GIC.N,197300000.0,2018-07-31T20:54:41Z
GIC.N,224000000.0,2018-05-01T17:00:00Z
GIC.N,211800000.0,2018-02-27T17:00:00Z
GIC.N,235500000.0,2017-10-31T17:00:00Z
GIC.N,224400000.0,2017-08-01T17:00:00Z
GIC.N,209500000.0,2017-05-04T07:04:00Z
GIC.N,214400000.0,
GIC.N,221800000.0,2016-10-31T17:00:00Z
GIC.N,229000000.0,2016-08-02T17:00:00Z
EFX.N,3318000000.0,2021-04-21T20:32:52Z
EFX.N,3168400000.0,2021-02-10T22:07:41Z
EFX.N,2929000000.0,2020-10-22T20:50:05Z
EFX.N,2694100000.0,2020-07-22T20:56:10Z
EFX.N,2386500000.0,2020-04-20T21:28:53Z
EFX.N,2578600000.0,2020-02-12T22:18:38Z
EFX.N,2515800000.0,2019-10-23T20:54:36Z
EFX.N,2543400000.0,2019-07-24T21:15:38Z
EFX.N,2561700000.0,2019-05-10T20:29:15Z
EFX.N,3107800000.0,2019-02-20T22:13:40Z
EFX.N,3184500000.0,2018-10-24T20:30:51Z
EFX.N,3222600000.0,2018-07-25T17:00:00Z
EFX.N,3274700000.0,2018-04-25T17:00:00Z
EFX.N,3174400000.0,2018-03-01T23:00:00Z
EFX.N,3100400000.0,2017-11-09T22:00:00Z
EFX.N,3021000000.0,2017-07-26T21:41:00Z
EFX.N,2888100000.0,2017-04-26T21:15:00Z
EFX.N,2662700000.0,2017-02-08T21:17:00Z
EFX.N,2746100000.0,2016-10-26T17:00:00Z
EFX.N,2541500000.0,2016-07-27T21:04:00Z
ORIC.OQ,276075000.0,2021-05-06T20:12:49Z
ORIC.OQ,289776000.0,2021-03-23T20:05:00Z
ORIC.OQ,184375000.0,2020-11-05T21:21:13Z
ORIC.OQ,195247000.0,2020-08-05T20:19:10Z
ORIC.OQ,-98417000.0,2020-05-20T20:15:10Z
ORIC.OQ,,2020-02-28T23:18:35Z
ORIC.OQ,,2020-11-05T21:21:13Z
ORIC.OQ,,2020-08-05T20:19:10Z
ORIC.OQ,,2020-05-20T20:15:10Z
ORIC.OQ,,
CVET.OQ,1520000000.0,2021-05-06T20:05:01Z
CVET.OQ,1537000000.0,2021-03-01T00:00:00Z
CVET.OQ,1416000000.0,2020-11-10T21:05:07Z
CVET.OQ,1276000000.0,2020-08-11T20:05:10Z
CVET.OQ,1202000000.0,2020-05-14T20:05:24Z
CVET.OQ,1253000000.0,2020-03-03T22:07:09Z
CVET.OQ,1329000000.0,2019-11-12T12:00:04Z
CVET.OQ,2247000000.0,2019-08-13T11:00:19Z
CVET.OQ,2294000000.0,2019-05-15T13:06:04Z
CVET.OQ,1493617000.0,2019-03-29T20:39:33Z
CVET.OQ,1513270000.0,2019-02-07T22:12:29Z
CVET.OQ,1497767000.0,2018-11-01T00:00:00Z
CVET.OQ,,2019-05-16T10:05:38Z
CVET.OQ,,2019-02-07T22:12:29Z
CVET.OQ,,
CXW.N,1266964000.0,2021-05-05T20:15:00Z
CXW.N,1390171000.0,2021-02-10T21:15:00Z
CXW.N,1412721000.0,2020-11-05T13:02:25Z
