Instrument,Original Announcement Date Time,ebit_ev,rev_ev
FIS.N,2018-10-30T11:00:00Z,0.00865445571115135,0.04758808892358684
FIS.N,2018-07-31T11:07:44Z,0.008137196899045044,0.04910297039939502
FIS.N,2018-05-01T17:00:00Z,0.0074680218095578565,0.05194926955739573
FIS.N,2018-02-06T17:00:00Z,0.011169973314463837,0.05561876367615786
FIS.N,2017-10-31T17:00:00Z,0.005197393804981121,0.053663731109558764
FIS.N,2017-08-02T12:13:00Z,0.01015236087309746,0.061294200137577706
FIS.N,2017-05-02T12:00:00Z,0.008732739485819452,0.062112332501788686
FIS.N,2017-02-07T12:14:00Z,0.012629305724081311,0.07150759676181224
FIS.N,2016-11-01T17:00:00Z,0.011210763826592113,0.06603483080510507
FIS.N,2016-07-26T12:00:00Z,0.00827413183146967,0.06763075840970777
